file_id,genus,species,english_cname,who_provided_recording,country,latitude,longitute,type,license,file_length
132608,Acanthis,flammea,Common Redpoll,Jarek Matusiak,Poland,50.7932,15.4995,"female, male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,38.55673469387755
132611,Acanthis,flammea,Common Redpoll,Jarek Matusiak,Poland,50.7932,15.4995,"flight call, male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,12.695510204081632
35068,Acanthis,flammea,Common Redpoll,Sander Bot,Netherlands,52.8176,6.4326,"call, song",http://creativecommons.org/licenses/by-nc-nd/2.5/,5.067755102040817
82715,Acrocephalus,palustris,Marsh Warbler,Dougie Preston,United Kingdom,60.3539,-1.2689,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,16.22204081632653
64685,Acrocephalus,palustris,Marsh Warbler,Dougie Preston,United Kingdom,60.3539,-1.2689,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,12.93061224489796
64686,Acrocephalus,palustris,Marsh Warbler,Dougie Preston,United Kingdom,60.3539,-1.2689,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,17.580408163265307
120664,Acrocephalus,schoenobaenus,Sedge Warbler,david m,United Kingdom,56.586,-6.1855,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,250.95814058956915
120666,Acrocephalus,schoenobaenus,Sedge Warbler,david m,United Kingdom,56.586,-6.1855,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,250.8014058956916
76767,Acrocephalus,schoenobaenus,Sedge Warbler,Richard Dunn,United Kingdom,55.2809,-1.5801,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,7.549160997732426
124052,Acrocephalus,scirpaceus,Eurasian Reed Warbler,david m,United Kingdom,51.8985,-0.5372,"call, female, male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,88.8944671201814
124053,Acrocephalus,scirpaceus,Eurasian Reed Warbler,david m,United Kingdom,51.8985,-0.5372,"call, female, male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,107.88548752834467
27999,Acrocephalus,scirpaceus,Eurasian Reed Warbler,Stuart Fisher,United Kingdom,51.2887,-0.5267,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,56.50263038548753
113082,Aegithalos,caudatus,Long-tailed Tit,Timo Roeke,Netherlands,52.2766,6.7271,alarm call,http://creativecommons.org/licenses/by-nc-sa/3.0/,28.447120181405896
101371,Aegithalos,caudatus,Long-tailed Tit,Krzysiek Deoniziak,Poland,52.272,16.797,call,http://creativecommons.org/licenses/by-nc-nd/2.5/,25.391791383219953
128853,Aegithalos,caudatus,Long-tailed Tit,Alexandre Renaudier,Spain,38.2072,-3.9626,call,http://creativecommons.org/licenses/by-nc-sa/3.0/,29.231791383219953
123169,Alauda,arvensis,Eurasian Skylark,david m,United Kingdom,54.128,-0.5574,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,240.56140589569162
123170,Alauda,arvensis,Eurasian Skylark,david m,United Kingdom,54.128,-0.5574,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,240.50916099773244
158166,Alauda,arvensis,Eurasian Skylark,david m,United Kingdom,54.127,-0.556,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,104.54378684807256
138979,Anthus,pratensis,Meadow Pipit,Fernand DEROUSSEN,Norway,70.3753,28.4628,song,http://creativecommons.org/licenses/by-nc-nd/3.0/,31.24222222222222
30614,Anthus,pratensis,Meadow Pipit,Ruud van Beusekom,Netherlands,52.2823,5.2256,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,151.37936507936507
142431,Anthus,pratensis,Meadow Pipit,Erik Roels,Netherlands,51.3246,3.7232,"flight call, male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,83.85283446712018
83705,Anthus,trivialis,Tree Pipit,Jelmer Poelstra,Sweden,60.157,17.639,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,54.22997732426304
33395,Anthus,trivialis,Tree Pipit,Mark Harper,United Kingdom,53.2112,-1.0717,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,48.48303854875284
99299,Anthus,trivialis,Tree Pipit,Tony Whitehead,United Kingdom,50.658,-3.719,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,31.007120181405895
139552,Apus,apus,Common Swift,Volker Arnold,Germany,53.0956,10.8457,flight call,http://creativecommons.org/licenses/by-nc-sa/3.0/,15.829977324263039
67307,Apus,apus,Common Swift,Patrik berg,Sweden,58.4278,14.2273,Begging call,http://creativecommons.org/licenses/by-nc-sa/3.0/,79.35977324263038
77645,Apus,apus,Common Swift,Richard Dunn,Spain,42.629,-0.111,call,http://creativecommons.org/licenses/by-nc-nd/2.5/,23.9540589569161
94584,Branta,canadensis,Canada Goose,Frank Lambert,United Kingdom,50.768,0.151,flight call,http://creativecommons.org/licenses/by-nc-nd/3.0/,45.21578231292517
35578,Branta,canadensis,Canada Goose,Arnold Meijer,Netherlands,52.1756,4.4003,call,http://creativecommons.org/licenses/by-nc-nd/2.5/,14.543786848072562
95381,Branta,canadensis,Canada Goose,Herman van der Meer,Netherlands,52.127,4.326,flight call,http://creativecommons.org/licenses/by-nc-nd/2.5/,19.40875283446712
64738,Calidris,alpina,Dunlin,Patrik berg,Sweden,68.471,20.9,Call,http://creativecommons.org/licenses/by-nc-sa/3.0/,3.265079365079365
118363,Calidris,alpina,Dunlin,Marco Dragonetti,Italy,42.6683,11.0069,flight call,http://creativecommons.org/licenses/by-nc-nd/3.0/,7.1997732426303855
