english_cname,mean,std,min,max,range
African Pied Wagtail,35.12591080876795,18.952636271121236,22.09936507936508,56.86857142857143,34.76920634920635
Barn Swallow,176.71177626606197,65.63807464499601,125.01578231292517,250.5597732426304,125.54399092970523
Black Woodpecker,26.234331065759637,22.76938964403536,10.344263038548753,52.31977324263038,41.97551020408163
Black-headed Gull,56.89773998488284,5.316386405649596,52.24777777777778,62.6936507936508,10.445873015873019
Canada Goose,26.38944066515495,16.48454817066939,14.543786848072562,45.21578231292517,30.671995464852607
Carrion Crow,53.19378684807257,41.59442314630082,6.425895691609977,86.0471201814059,79.62122448979592
Coal Tit,48.93582766439909,41.621131125392985,20.1140589569161,96.65283446712019,76.53877551020409
Common Blackbird,106.97127739984882,125.59916443602683,24.34589569160998,251.50671201814058,227.1608163265306
Common Chaffinch,121.83487528344672,75.1286537408417,75.33691609977325,208.50916099773244,133.1722448979592
Common Chiffchaff,77.14003023431594,54.668476249812706,32.78344671201814,138.21578231292517,105.43233560090704
Common Cuckoo,23.544807256235828,13.543181930964966,13.505079365079364,38.948344671201816,25.443265306122452
Common House Martin,74.5358276643991,28.871751304331156,46.78507936507936,104.41120181405896,57.626122448979594
Common Linnet,168.5679365079365,75.72500570350812,102.16467120181406,251.03650793650795,148.8718367346939
Common Moorhen,85.14161753590325,80.0819004554084,6.347528344671201,166.45201814058956,160.10448979591837
Common Nightingale,189.10025699168557,106.64337772703111,65.95918367346938,250.8014058956916,184.84222222222223
Common Pheasant,122.67745275888133,115.30118181767067,31.163854875283448,252.17975056689343,221.01589569160998
Common Redpoll,18.773333333333333,17.552290136004036,5.067755102040817,38.55673469387755,33.48897959183674
Common Redshank,33.74344671201814,27.520736892393977,13.975283446712018,65.17528344671202,51.199999999999996
Common Redstart,43.215011337868475,17.980526489331215,23.039773242630385,57.5475283446712,34.50775510204082
Common Reed Bunting,39.897460317460315,13.470177870043806,24.42426303854875,49.00548752834467,24.581224489795922
Common Snipe,26.601209372637943,3.727825905033135,22.308344671201812,29.021814058956917,6.713469387755104
Common Starling,126.96365835222979,88.653179437899,24.607120181405897,179.4612244897959,154.85410430839002
Common Swift,39.71460317460318,34.57318047107618,15.829977324263039,79.35977324263038,63.52979591836734
Common Whitethroat,54.6827664399093,31.8228079359522,21.36793650793651,84.7671201814059,63.399183673469395
Common Wood Pigeon,68.9439455782313,77.60391011447297,14.184263038548753,157.75179138321997,143.56752834467122
Corn Bunting,250.86235827664396,0.31383198982862087,250.54018140589568,251.1671201814059,0.6269387755102116
Dunlin,19.09201814058957,24.085998248363264,3.265079365079365,46.811201814058954,43.54612244897959
Dunnock,30.493378684807254,21.52580673070046,14.471609977324263,54.96140589569161,40.48979591836735
Eurasian Blackcap,45.923038548752835,28.355422024439875,26.38344671201814,78.44548752834467,52.06204081632653
Eurasian Blue Tit,61.66624338624339,30.29546438686034,36.57142857142857,95.320589569161,58.74916099773243
Eurasian Bullfinch,69.9107634164777,23.576905516006846,53.55102040816327,96.93578231292517,43.3847619047619
Eurasian Collared Dove,46.48031746031746,22.784920846137187,22.647936507936507,68.04875283446712,45.40081632653062
Eurasian Coot,25.541640211640214,9.53214386549501,15.124671201814058,33.82857142857143,18.70390022675737
Eurasian Golden Oriole,74.4372940287226,30.142823795852955,45.008979591836734,105.24712018140589,60.238140589569156
Eurasian Jay,41.16019652305366,36.80982342530011,17.78938775510204,83.59160997732427,65.80222222222223
Eurasian Magpie,38.26060468631897,25.558061263671355,9.58671201814059,58.64489795918367,49.058185941043085
Eurasian Nuthatch,26.400937263794408,7.26033664739241,18.573061224489795,32.9140589569161,14.340997732426306
Eurasian Oystercatcher,59.10631897203326,19.918529462120127,38.32163265306122,78.02775510204081,39.70612244897959
Eurasian Reed Warbler,84.4275283446712,25.981044216099818,56.50263038548753,107.88548752834467,51.38285714285714
Eurasian Skylark,195.20478458049888,78.51473151429352,104.54378684807256,240.56140589569162,136.01761904761906
Eurasian Tree Sparrow,117.64195767195768,65.92838480277014,52.463786848072566,184.29578231292518,131.8319954648526
Eurasian Treecreeper,67.38922146636433,79.56206861155091,13.511791383219954,158.77201814058958,145.26022675736962
Eurasian Wren,65.68902494331066,29.389001213187903,45.08712018140589,99.34344671201814,54.25632653061224
Eurasian Wryneck,127.26860166288738,75.30242325693676,40.4637641723356,175.0465306122449,134.5827664399093
European Bee-eater,52.496613756613755,13.270485005250709,41.37578231292517,67.1867120181406,25.81092970521543
European Golden Plover,83.67876039304612,57.617180425818965,34.037551020408166,146.8601814058957,112.82263038548754
European Goldfinch,25.948072562358277,11.829528259023798,14.680589569160997,38.26916099773243,23.58857142857143
European Green Woodpecker,28.23814058956916,24.61362717206868,5.851201814058957,54.59569160997732,48.74448979591837
European Greenfinch,33.33201814058957,2.026637438867989,31.111609977324264,35.08222222222222,3.970612244897957
European Herring Gull,55.24778533635676,17.675669725499095,38.25578231292517,73.53578231292516,35.279999999999994
European Honey Buzzard,53.031776266061975,25.356498912100857,24.52777777777778,73.07977324263038,48.5519954648526
European Nightjar,53.777188208616785,16.98727277867262,41.97854875283447,73.24712018140589,31.26857142857142
European Robin,105.07297052154195,80.51098260437675,42.370385487528345,195.86589569160998,153.49551020408163
European Turtle Dove,42.39174603174603,19.694005604877038,26.68777777777778,64.48777777777778,37.8
Garden Warbler,140.56474678760392,95.9770794117443,73.71732426303855,250.54018140589568,176.82285714285712
Goldcrest,53.69889644746788,24.13973466469629,34.74263038548753,80.87510204081633,46.1324716553288
Great Spotted Woodpecker,23.779984882842026,17.614614485106266,12.747528344671203,44.094467120181406,31.346938775510203
Great Tit,36.46671201814059,21.289795918367346,15.176916099773242,57.75650793650794,42.57959183673469
Grey Partridge,33.480045351473926,36.835546178652024,10.44875283446712,75.96385487528345,65.51510204081633
Grey Plover,53.72495086923659,69.4487746713072,12.023786848072563,133.89578231292518,121.87199546485262
House Sparrow,45.48213907785336,9.98363983484776,34.16816326530612,53.05446712018141,18.886303854875287
Lesser Whitethroat,23.031065759637187,7.841841420027899,17.84140589569161,32.05201814058957,14.210612244897955
Long-tailed Tit,27.6902343159486,2.0288068316123096,25.391791383219953,29.231791383219953,3.84
Marsh Tit,38.81780801209373,32.15831250726381,12.773650793650793,74.76222222222222,61.988571428571426
Marsh Warbler,15.577687074829932,2.3909295951056166,12.93061224489796,17.580408163265307,4.649795918367348
Meadow Pipit,88.82480725623581,60.22270052506088,31.24222222222222,151.37936507936507,120.13714285714285
Northern Lapwing,79.08113378684807,46.80252344840409,35.50018140589569,128.54834467120182,93.04816326530613
Northern Raven,65.14052910052911,59.64490875558205,27.036507936507938,133.87732426303856,106.84081632653061
Red Crossbill,53.69882086167801,23.95953146962159,26.043854875283447,68.20548752834468,42.16163265306123
Red-throated Loon,105.97854875283447,60.26267806871289,63.007120181405895,174.86344671201815,111.85632653061225
Redwing,44.64311413454271,25.37217050402753,22.77877551020408,72.46344671201814,49.684671201814055
River Warbler,60.978609221466364,32.493837188865044,29.231791383219953,94.17120181405896,64.939410430839
Rock Dove,16.725457294028725,20.26515470826329,4.77578231292517,40.12385487528345,35.34807256235828
Rook,38.90480725623583,5.031290368391353,33.38426303854875,43.23242630385487,9.84816326530612
Sedge Warbler,169.76956916099772,140.487016339352,7.549160997732426,250.95814058956915,243.40897959183673
Song Thrush,118.76342403628117,114.71253705382372,43.34378684807256,250.77528344671202,207.43149659863946
Spotted Flycatcher,35.742320483749054,8.568998694273052,26.723038548752836,43.77575963718821,17.052721088435373
Stock Dove,72.58542705971277,55.74354541697587,8.385079365079365,108.69551020408163,100.31043083900227
Tawny Owl,100.57990929705215,9.454462175746713,91.40222222222222,110.28875283446712,18.886530612244897
Tree Pipit,44.57337868480726,12.095013586523912,31.007120181405895,54.22997732426304,23.222857142857144
Western Jackdaw,61.0828798185941,50.114673284696025,6.687120181405896,105.37773242630385,98.69061224489795
Western Yellow Wagtail,60.64027210884353,41.99104583850249,34.15179138321995,109.05578231292517,74.90399092970523
Willow Ptarmigan,74.83956160241874,88.46662170205916,7.967120181405896,175.15179138321994,167.18467120181404
Willow Tit,38.80447467876039,26.88323963108467,10.475102040816326,63.95977324263038,53.48467120181406
Willow Warbler,104.85104308390022,124.08444549160505,19.34378684807256,247.17038548752834,227.82659863945577
Wood Sandpiper,37.16832199546485,11.202455319279547,26.73578231292517,49.007777777777775,22.271995464852605
Wood Warbler,51.88766439909298,21.875431230433453,28.055283446712018,71.05283446712018,42.99755102040816
Yellowhammer,62.17120181405895,31.62479306166687,27.062630385487527,88.42426303854876,61.361632653061235
